City,State,Population,lat,lon,Status,Color
Huntington Beach,California,197575,33.660297,-117.9992265,4,green
Corpus Christi,Texas,316381,27.8005828,-97.396381,1,yellow
Haverhill,Massachusetts,62088,42.7762015,-71.0772796,2,red
Hanover Park,Illinois,38510,41.9994722,-88.1450735,3,black
Cambridge,Massachusetts,107289,42.3736158,-71.1097335,4,green
Glendale,Arizona,234632,33.5386523,-112.1859866,1,yellow
Stanton,California,38623,33.8025155,-117.9931165,2,red
Summerville,South Carolina,46074,33.0185039,-80.1756481,3,black
Davenport,Iowa,102157,41.5236437,-90.5776367,4,green
Boca Raton,Florida,89407,26.3683064,-80.1289321,1,yellow
New Britain,Connecticut,72939,41.6612104,-72.7795419,2,red
Roseville,Michigan,47555,42.4972583,-82.9371409,3,black
Cleveland Heights,Ohio,45394,41.5200518,-81.556235,4,green
Gresham,Oregon,109397,45.5001357,-122.4302013,1,green
Lauderhill,Florida,69813,26.1403635,-80.2133808,2,yellow
Hendersonville,Tennessee,54068,36.3047735,-86.6199957,3,red
Santa Clara,California,120245,37.3541079,-121.9552356,4,black
Oceanside,California,172794,33.1958696,-117.3794834,1,green
Lake Forest,California,79312,33.6469661,-117.689218,2,yellow
Novi,Michigan,57960,42.48059,-83.4754913,3,red
West New York,New Jersey,52122,40.7878788,-74.0143064,4,black
Everett,Massachusetts,42935,42.40843,-71.0536625,1,green
Linden,New Jersey,41301,40.6220478,-74.2445902,2,yellow
Asheville,North Carolina,87236,35.5950581,-82.5514869,3,red
Compton,California,97877,33.8958492,-118.2200712,4,black
